nerdyplourdie6,how many times yo daddy woop yo ass and u cry
payoletter,space writer  @gizmodo. feminist + cat whisperer//formerly @mtvnews @heyrevelist//send your darkest secrets to rae@gizmodo.com
snickersnmocha,Singer  dancer  sleeptalker  avid breather  compulsive liar.
spec_kay,Back off man  I'm a scientist.
blurryjessa,bitch! :: future astrophysicist
fightemoji,i'm sarah and i was put on this earth to love mark and meme 👽 she/her/they/them 👽 i have an oc twit now??? @towstsBITH 👽 #BlackLivesMatter
savantmusa,The #NewAmericanDream is to be debt free  renter  car free  and use your passport. #TECHisthenewdope #FRWDit Donate 👇🏾 #BlackSavingsChallenge /G\
earemu,Digital Marketing Exec @blackcurveHQ. Avid-learner  marketing lover and startup builder.
sjreidhead,Writer  4 Books (Wyatt Earp Tombstone)  Episcopalian  Baseball  Baritone Junkie  6 Cats  1 Poodle  Opera Fanatic  Politics  https://t.co/WqGNDJvpFT
dajmeyer,selective synthesist
sciencenelson,Rogue British science journalist/producer Boffin Media  Space Boffins Podcast  former BBC science correspondent  pro-science/sci-fi/feminism. All views own.
sagesera,Forever is as long as you let it last. l💘12/12/16 💘l Future Professional Stargazer. l UT 2020
dqcqb,Former head of Easter Island and elite dog walker
ajitsinhjagirda,Human being.  RTs are not endorsement.  Don't follow if you don't allow me to see your tweets or identity. Accounts I doubt to be fake will be blocked.
rolljleah,{sophomore @ shhs} snapchat: ljroll
spacekate,Alter-ego of Broadcast Journalist @RadioKate. I want to go to space. There has to be a way. Help me find it. Founder of @TeeMinus10. ISU SSP12 alum. SpaceTweep.
barhmhie,I'm simply me by HIS grace
johndrinkwater,FOSS and standards advocate  naïve optimist  partial grump  SteamLUG coadmin  Linux user  former Humble QA. British and left leaning. Citizen of the world.
rothtravo,33% American 33% Canadian 33% Awesome 1% Crazy. Lets get weird  eh?!
sevensixfive,nearsighted optimist
tixu213,cyclist + phd candidate @UniofOxford / MRI physicist @ISMRM /  biodesign student @OxfordBiodesign
leonisspace,Official Twitter feed of Leonis Space  a new space tech non profit start up. Living  working and exploring off world space ventures. This is the future.
bradcooney1,Author  Podcast Host. Interviewing @NBCTheVoice singers 4 seasons straight https://t.co/Ow6Yz3fsKO US Navy Veteran Operations Specialist
alexa_kantor,Senior Electrical Designer for Culham Science Centre of Fusion Energy @fusionenergy + @the3million Admin  https://t.co/zIRGdGR6b0
dguisinger,I don't respond to cowardly right-wing nut jobs who project their hate and bigotry and intolerance on others and hide behind fake names and pictures.  #resist
andremar464,14~lectora hasta el fin de mis días📖 ~té😍 nutella❤ y pistachos👌~ Arg~
djvitruvian,Webdesigner. Soeverein mens van vlees & bloed. https://t.co/r8JfvFcbOM
little_rachie,fashion enthusiast. rebel yogi. 200-hour RYT. big fan of women's rights.
rewir8rh83,Its all right  just let go  there's beauty in the breakdown
oiclid,I caught a glimpse of something beautifully absurd through the window as a baby. I've been looking for it ever since. I am Scrooge. No holiday cheer here.
franklinkio,An old Nigerian optometrist/educator who believes that: The world is a stage and your success is in achieving what gives you joy and happiness.
cjlisa11,Fantasy is ninety percent of the art of being good
casxvii,EDGY  ARTIST  ANGEL • IG: casxvii • 👻casjerome (IF U NEED TO TALK MY DMS R ALWAYS OPEN) 💌 cassandrajerome1@gmail.com
bosshogghazzard,Making Cash  running Hazzard County and hitting Daisy on the regular.
uf0freak,oh yeah? you and what toaster?
attheriver2002,Everton    "your in my arse your in my hole"
mikedepaul,Information Security professional @ Fiserv // .NET Developer // Developer of the Perfect Screenshot Android app.
swagmoneyjoe,steal my lunch money + unfollow me already
mendesphangirl,I'm your national phanthem  p.s seb ily
larnold1997,University of Notre Dame 2019 - Running is the greatest metaphor for life  because you get out of it what you put into it.
yennaholt,living the dream
alisonbnyc,peanut butter enthusiast. world traveler. tv day job. shoes and tattoos. collector of random facts.
grunzwanzling42,Hobby developer and gamer. Full name is Maximilian Leander Freiherr von Gaisberg-Helfenberg  but it is too long for Twitter
nbgbas,ik ben een jongen die een YouTube kanaal is begonen voor de lol(ik had niks te doen)
alinaonyourmind,🇩🇴 🇳🇬🇬🇧🇮🇪
luminessing,Pianist  Formally Chaminade Univ Maui English Assist.  An avid traveler and reader  Animal Rights Activist  Artist
iovearrowshoot,( ˵ •∋•) ♡ ( ິ•ᆺ⃘• ˵ )ິ
adamnash,Inevitably optimistic. Slightly amusing. Always talking.
westonwolf359,Actor  sound designer  and journalist for the Christian Science Monitor  with a Philosophy BA from Principia College
rgproductdotcom,3D Printing via @FuseDeep - Experiential expert - Feature Film production - Technologist - Creative
l0uisp4sion,No hago nada productivo. ❀04-05-2014 One Direction// 19-06-2016 Bajo ningún término y Mica Suarez ❀
thinkeryatx,Where Science Smiles. We're an evolution of the former Austin Children’s Museum.
andrew02765979,TAxD
raegay218,I wanted to be a gymnast. But I'm six feet tall. So now I tweet.
berkeleyscience,The official twitter of The Lawrence Hall of Science  UC Berkeley's public #science center.
anabolicchicken,Something big is cooking...
recreationlaw,I'm an attorney  speaker and writer who specializes in human powered recreation law. Request a call: https://t.co/okyb9hOHUf
carminesiccero,Since 1357 the 1st Family of food and baking. We own restaurants throughout  US  Italy. Hard work breeds success.We are blessed. True Believer. Support St Jude
apmarjaien,live laugh love and eat ..
ebrecordings,Nature uses as little as possible of anything. Kepler   #FreePalestine #BDS #BoycottIsrael  ✺☆☄☀✵ ♡♪♫♬♮
baulau07,
arielofficial,I hope you're adaptable ||California ✈ London|| Film • Uni of Roehampton '19 • ℓ∝¹/d² • ʌv☯ •
hemarpalhano,
lefac01,
roberts_jenifer,I am a geography examiner so like all things human and physicaI. Like fresh veggies from garden  blue skies and horse racing. I walk with the ramblers.
jjgonzalez63,
trendrewards1,(NEXT) New Xchange Trading  Platform.   #SelfieYourBrand @Trendrewards trendrewards@gmail.com
anagardastro,Computer engineering student. Also in love with astrophysics.🚀🚀🚀  In love with the northern lights. Meeting Jim Parsons is on my bucket list.
mischiefmags,I like a lot of things  I have a lot of opinions. I put them on twitter. I'd tell you what I do  but it takes more than 140 characters.
stubusby,Loughborough Dynamo Greens coach  massive Everton fan
kwaio,Geek de profession  aventurier casanier  militant des causes perdues. - Bannière : La Baie-Saguenay  Québec
corvuscap,I manage people's money.                                       Stephen Vogel  CFA
cosmiccupcake12,Astrologer-Psychic Medium-Reiki Master and Certified Holistic Life Coach
jerflash,Animation/Physics/Scifi/Comic/Gamer Geek. Mechanic. Tech Writer. Google Local Guide Level 5. https://t.co/c3Fkk5A612 #SaveScience
jhony1012,has q valga cada dia
argillette,Future Jeopardy Champion  Retargeting Victim / Head of Digital Advisory Solutions / @SFSU #alum / Views are my own
mstfime,Former VP Global Security Manager and Fraud Investigator - Seeking new career opportunity in Nashville.
tcgotwings,THE BEST TWEETS EAST OF THE ROCKIES 🛰🏺🎙🐊
almaasoglu,UI/UX Designer & Journeyman - For hire: almmaasoglu@gmail.com
matildecasanova,Live and let live
marrandalee,
neddaparangi,dimple goddess.
lgg2610,Northern transplant. Panthers  Red Sox  Gamecocks. Wine& dog lover❤️️
itzdalzhere,I think   therefore   I am. Aspiring Physicist. Student. Blogger. || M ❤
biancabergado,how's it guys going | 1.17.17 aka the day Target tweeted back
themattsaffer,Professional news slayer. Recovering actor/personality. Trekkie  news geek and wanna be athlete. I also brew & blog about beer.
ovosoundddd,we views now
laurrmoran,C'est la vie. Mississippi State.
celebucat,Cat has special powers #MedicalAlertCat to My Mum #CancerSurvivor We Travel together so she can do her Job while I do mine Miracles happen
caitlin_soeun12,I am what you call...strange
itzgalaxyzz,Official account of Atwell Music - feedback is much appreciated
fliipp_,
diego6313,Hola mi nombre es Diego Cerezuela soy de Beires provincia de Almería. Trabajo en la agricultura
paercebal,
blurukus,BRCHTHYHWHBHSHMYHWHSHHMSCHMN / 死の王✡卍 / YKYH / טרור ומוות /  死の王に賞賛
rubeneds,National Social Media Advisor  Scouts Canada • Senior Studio Artist  Juniper Park/TBWA
becca_ince,16th lap around the sun
jadalynp,CMHS| insta: jadalyn._ #blacklivesmatter pro black does not mean anti every other race!!
jacsaab,Husband  Father  Physicist  USMC combat veteran. Fuck religion  especially Islam.
ekh_sci,Earthquake Hazard  Satellite Earth Observation & DRR scientist. Other passions: global development  economics  climate change  global health  NatCats  nature
michaelpaone,Memetic poet.  I share good stories with the right people.  Futurist.  Drinker of butter coffee.  I integrate everything.
rlkelley,
hayleephelps,
slavkobogdanov,Astrophysicist ordinaire
penney_donohue,
macksboo,Public Relations & Marketing. Adventure  Fun  Food  & Everything In Between.
jrtbarber,
muaz2010,‏‏الأحلام سأحققها  الطموحات لا تنتهي  و الغد أفضل بإذن الله
thuyvan67thuy,Tôi là giáo viên dạy toán quan tâm đến ỨNG DỤNG CNTT trong dạy học và KỸ NĂNG THẾ KỸ 21
torbroadway,Small town girl with big city dreams.
chargethemoundx,Girl boss / girls baseball advocate / retired backstop / card collecting / Always Astros / @girlstravelball / Founder of Charge the Mound ⚾️
scrubshine,
sequoiathetree,hoes don't get cold but we do get bored~ (she/her) political account: @liberal_fiend
mumurthigal,
jhadzic,A 28 year old guy from Croatia. CEO @vidimediahr Founder: @vidiworld & @poslovnipuls
pdewitt52,
carlosibrahim_,⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀U2 - Walk On⠀
magneticstarks,I'm the author of the fan comic Star Trek : Expedition. I spend most of my time drinking various teas while discussing anything science fiction.
jasayto,UN REBELDE POR SIEMPRE
bobski1984,Aka Mega Nerd. Grumpy git  #avgeek  modeller  Bolts fan and Whovian all rolled into one. Views are my own.
crazy_mystic,Scorpio~24~Wanderer  SNAPCHAT username: CRAZYMYSTIC
aplusplus,Designer   Art Director  @032c  Critical Optimist. Context is king.
darthmoblo,
travradiofm,Promotions & On Air Afternoons @1079fox Classic Rock  MMA/Boxing Announcer  appeared on episodes of The Sopranos & Strangers W/ Candy  Runner In Progress
melissa70901410,
jolenegiroux1,
fartortugasqual,Film  TV production specializing in on the water film projects. 20 year yacht Captain. Sailing instructor. Grew up in Denver  Colorado  200 000 miles at sea.
steveshmidt,
rbonini,Developers  by definition  are engineers lost in the details of implementation
bizzielizzie785,no pictures of me
cloroxbleach420,i wanna die
bonitamangobum,The Cool  Simple Girl with the Curls.
lucy_sutton,☾SC lucyculsutton ☆ Smiler ♡ Harvey ☆ sleepy ☾
jarettcurtis,Business Management & Wrestling Coach
mlwinters,Lighting Engineer  Lighting Designer  Followspot Queen  Electrical Engineer  Metalhead  Cornish  Transgender  Pansexual   Demigirl  A child of the Pale Blue Dot
brookieann14,by your grace  I live and breathe to worship you.
jonthomas74,Father of 2  Husband  follower of Christ  science geek (but not smart enough to be a scientist)  car nut (when they cooperate)  Subaru Driver  Space Freak  camp
saveabee,#FronEndDev - Design #MobileFirst - #FOSS Supporter - Project Manager - PA Notary Public - Combat Veteran GHPage: https://t.co/qVJTNvzLsE
tweetersteele,Writer/Producer. @Midnight all-star. Comedy. Songwriter. Singer. Rapper. Defyer/definer of logic. Good bad ass. Actor. Bookings: seran@take1ent.ca
douchecanoe733,I'm an alien sent to surveil the Earth from orbit. I'm currently awaiting the arrival of an extermination fleet from my home galaxy...I mean a peace fleet
pastolzenberg,Thankful every day for Sawyer Frederick music and Team Sawyer friends. Doesn't get much better than that
blondecrkhead,Anja in emojis: I live in Chicago ✈️and NYC ✡
westtxmissioner,
dickhippo,Love Detroit sports  hot babes  racing and travel.   Dislike Dachshunds.
sliztheboss,The man  the myth  the legend C.E.O of Truth Media Group. Mogul in the making. Life is what you make it......make it good #TEAMTMG
itsdisko,I talk about my shitty political opinions and competitive Smash Bros. Melee
livelovetrvlest,nchs '18 ❤🖤 | varsity #41 🏈 | #HitSquad
plutosgems,I am a Major Planet and NOT a Dwarf. My Protector is the God Pluto/Hades. God of the UnderWorld. And we R not afraid.
pbsspacetime,A PBS show about the universe! Written and hosted by astrophysicist Matt O'Dowd @matt_of_earth
dubengeldu,[NOT FOR SPIES] WHAT IS A HUMAN BEING B00FY0UKNI and smashwords-552210
triggerej,
zananeichan,Creator:YOUR PLANET IS UNDER THREAT AND YOU FACE EXTINCTION BY YOUR OWN STUPIDITY BY WAR  FOSSIL FUELS & NUCLEAR WEAPONS THIS COULD HAPPENIN A YEAR IF NO CHANGE
87_anisur,All you know.
xboxfyro,
bilibidon,Gluten-Full  All-Around Pill.
lstoff2,In the dark there may be fear  but there is also hope.
tracedominguez,Professional nerd for @DNews  @SeekerDaily. Insta+Snaps @ trace501 // Open DMs if you're a gov't scientist and need to share information.
dailycosmic,The Cosmos is everything
limitlessdrops,All of time and space  everything that ever was and everything that ever will be.     Where do you want to start?
4million4peace,Everything=absurd. Laughter=universal. I Tweet about #NFL #Sports #PopCulture to explore there influences on society #VoiceActor #VoiceOver #SportsAnthropology
biepbl,BIE is dedicated to improving 21st Century teaching & learning by creating & disseminating products  practices & knowledge for effective Project Based Learning.
aaronmartinz,Doin stuff  goin
stromspace,Freelance writer/editor (Canadian aerospace/space industry). Editor  The Gazette Weekly  newsletter of the Canadian Space Society. @CdnSpaceSociety
jonasallesson,
lizzyjlou,Just doing my thing.
wtkr3,Visit us online: https://t.co/O7Be1q7QDa. Like us on Facebook: https://t.co/eQkKUQdE0K. Follow us on Instagram: https://t.co/uonHdcjouf.
av8orgamer,Games on easy mode. Flying on hard mode. Internet on Dark Souls mode.   My alter-ego: @indobushpilot  Steam Origin GOG PSN:Av8orGamer Uplay:Indobushpilot
thehashtag0nist,Freelance writer for @mammoth_gamers @Sidequesting @polygon Terrible Jokes @Twitter
davidonformosa,Tweeting about news  politics  human rights  environment and culture in Taiwan and Asia. Opinions mine. RT or link ≠ endorsement.
kellyypeacock,20. poet. || insta: kellyypeacock // peacockpoetry || writer: @CREERmagazine @_lucyoutloud - words in: @shewantedtoblog
sam_hansen21,sorry in advance
abetagoe,Tottenham Hotspur  my club  my one and only club
drewsky1966,
kswag1030,Follow me on instagram @kheartlove Follow me on musically @KHeartlove                          Snapchat @kswag1030
thetheresac,
ctbailey77,#Rays #Vols #tblightning #bucs
jackblue2009,22 yrs old  Entrepreneur and Game developer. Big comic fans  addict to TV shows #RealMadrid #ThankYouDAN #Superman #TeamCap
royaltejinder_s,Soon you will know who am I.
saifulsyahmi,ALLAH adalah tujuan kami rasulullah teladan kami al quran pedoman hidup kami jihad adalah jalan juang kami..insya-Allah! pluviophile
chrisrbax,The Truth Shall Set You Free Email:chris.bax@yandex.com https://t.co/qKWEmxCZ9A https://t.co/77U0yiH0UP
texas_kayak,#KCCO #Hook 'Em instagram:cjtexas
nubedegoku,one direction - fashion - feminismo - agents of shield - kirchnerista todo junto y sin problema
gabelopezsongs,Platinum/Gold Producer/Writer/Artist | Belinda Carlisle US & UK tours 2014-2017 | New single CALIFORNIA BLUES out now | Instagram: gabelopez
idgaf137,Just a person with lots of time
misterkontos,Just a guy that loves video games and annoying the bigots and crazies of the world.
love_oscars,ESTAMOS UNIDOS MEXICANOS AL GRITÓ de Guerra
occupycentralca,Investigating microwave frequencies that can control systems in the human body via systems similar to an implantless #NeuralLace
alaw312,Social & Digital Strategist. Branding Boss Lady. Dance music blogger. Beats  baseball & dogs. Feminist 3.0. Holds a strong passion for brunch. @napgirls
daleerosss,UW | WLU global studies  environmental science #renewables #AR #IoT | #cymatics #fractals | #family
jackiebergin,associate engagement manager @Carrot - a @VICE company | perpetually studying the internet
338_7454,
avi_lapp,
simoneroliver,Superintendent @OttCatholicSB; Board of Directors: @EOCCC1  @CASSAACGCS  @OCCCC1; Board of Governors @AASAHQ
angelaphelps,IG: @AngPhelps
jamesrossi100,British Engineer  Snowboarder and Mountain Biker.
gilton3r,
leherbiet,Rain Harvester - Arquitecto - Flâneur en Vélo - Pastafarian
nondairygary,2 cat life
bierygeo,
joshguido7,Gamer  Sci-fi nerd  Crazy Star Wars/Marvel/DC/Star Trek/Nintendo/Ghostbusters/OverWatch/Stranger things fan!!!! You follow me I'll follow you
elfabuloso,Graphic designer living in Brooklyn  food viking  pop culture whore  news media acolyte  outdoors junkie and wanderluster.
adamsworldblog,Entertainment journalist. Supporter of indie music. Lover of day baseball  fringe movies  & chicken shawarma. Part time ninja. Nerdy  but awesome.
laurafish1,Climate hawk  energy & IR wonk  social media @indivisibleteam  DC/#WMATA complainer  @giants fan. @tulanenews @wilsonschool & USACE alum. Personal views only.
gottogeek,Got to Geek is a blog aimed at connecting geeks in Upstate NY with events and businesses relevant to their interests. Get out and Geek out!
bethmadsen1,Florida transplant from Minnesota.
antigemination,
jayne__7,Horse lover & owner of beautiful 'Bounty Bou'. Recently completed my first half marathon #RnRLiverpool
schmalison7,
janasitton,
just1nbruce,Morning and midday meteorologist at @KTNV.
vote2016indy,
jbriidges,@FGCU & @ChiO_PiMu Alum  #gopack🧀
lil_princessk,I run on coffee  sarcasm & mascara 🖤
whoa_itskaitlin,Chuck Palahniuk. 63% bad puns.
cairnsaustralia,Cairns the Adventure Capital of Australia  White Water Rafting  Skydiving  Scuba Diving & Snorkeling The Great Barrier Reef  Bungy Jumping  Horse Riding  Warm.
brokenbins,
iafypp,The IAF Young Professionals Programme is dedicated to developing the next generation of leaders in the international space community.
crystals423,ܟܪܸܣܬܲܠ                                                                     ISSA CRYSTAL
stay_rad_bmx,Life. Liberty. The Pursuit of Radness.
chillequalszero,Ambassador of zero ❄️ #Cowboys #Mavs #Rangers  MJ 👑🎤   #WWE  #TWD Cole slaw hater. Pop culture pleighboi  music guru. Married to a hot 🇮🇹. God is good.
mitekle14,🎁8/6🎂wishes @misstiffanyma will say happy birthday to me  YouTube addicted and Insta:tiffanyma_snaps💘🦄
loganthewriter,Coffee  taco and tequila connoisseur. Here to offer my encouragement and support to anyone who needs it💙. #virgonation  #spursmafia #cowboysnation
famout_highwind,Displaying random awesome parts of the internet 1-2 times a day. Oh  and updates on my stuff as well.
ryinspace,CDN/USA Explorer. Assist Prof CSO @ERAU_Daytona. Chairman/Pres @YurisNight. Photographer. Husband. Father. Rock the planet! Поехали!
amceown,
techn0gen,Hi  I'm Technogen  I maybe a time traveler who forgot about it.
sammyhofling,
phalpern,Physicist and Science Writer.   Author of fifteen books  including The Quantum Labyrinth:  How Richard Feynman and John Wheeler Revolutionized Time and Reality
hustletillman,Founder of @FoFPresents. Futurologist. Fashion Designer. Rapper. Time Wizard. 18+
shylo_smith,
pablo_abad,Co-Founder & CEO at Müvr
carlo_thchthr,just a record collector wandering the Brooklyn wasteland. opinions are my own  duh.
deborah_hayward,Graphic Designer  Director of Design @CreativUmbrella  Past President @SMPSdc  Photography Nut  Military Spouse and Proud Mother
wildvke,I Love family  antiques  looking at the night sky  getting dressed up for no reason. Please don't judge me by who I follow. Open minds conquer many obstacles.
denadeangelo1,A Creative in a Suit. Analog grrl in a digital world. Dancer at heart. Proud mom of 4. I listen to a ton of tunes. Can never have too much music in one's life.
dfauxy,I talk football  CFB  NFL  and usually I'm wrong. Writer for Complex Athletics. Kinda #DraftTwitter. Cooper Kupp's #1 fanboi. Beyoncé is not a deity.
psi_bar,A theoretical physicist and astronomer by training  e-mini futures day trader by occupation  owner and webmaster of http://t.co/F7oVG8p9rS.
wacbudde1970,Male  retired Club DJ  Ex-forklift handler  S/O
bxsel,tee-hee-hee!  :3
speakingofmike,Voice Actor. PBS Kids  BlueCross BlueShield  Philips  HP Enterprise— companies large and small  I love them all! Demos at https://t.co/1cf5V39LQG
live_coverage,Welcome¤@Twitter-GlobaL¤ •→News/Media-tweets• Intel/logic↔Remain*Rational - Retain*Respect/dignity: Don't compromise→sanity in social-media/politics/debate/etc.
mfbenson1,Superpowers include receiving poor customer service  not being noticed  and leaving without buying anything.
ericasmith26666,
plasmarmuse,Spaaaaace ! PhD student in plasma physics at @LabPhysPlasmas  R&D at @Thrustme2  responsible for the development of @AstronautiXSC.
riogolde,Swimming In The Wake...coming out soon! by👤. *upload THE WAVE into Twitter banner.
jvernier82,
jacckiee_m,🌻🌻🌻🌻 shhs | 2019
judywang_,i like puns and sarcasm and well-bred insolence. @facebook & @instagram 2008 - 2015. now @slackhq
chrishager,Writer of Proxima  Atlantia Rising  and many things you haven't heard of (yet). An optimist trapped in the body of a cynic.
ruthie147,Science communicator & faculty @ISUnet Past: EJR-Quartz for ESA  journalist snooker reporter  ISU SSP10 #NASATweetup #STS135 Always: reader  weather nerd  Irish
jdinbmore,Social-minded starry-eyed but pragmatic progressive who repairs musical instruments when not taking bobble-headed non-thinkers to task.
camjam_andjelly,
caterpillarinc,For 90 years  Caterpillar Inc. has been making sustainable progress possible and driving positive change on every continent.
coskunofficial,ı do not want to live in a world where everything ı do and say is recorded.
ssassci,ruthless
w_humph,The only thing necessary for the triumph of evil is for good men to do nothing #WorkQuotes
gomez00023,love life live laugh smile everyday
set_qesu,
anoblebookworm,Criminology honours student and mother of two healthy guinea pigs. I enjoy long walks on the beach  dinners out  and skeletons. STU 2017.
donaldjoconnor,
gogodrunkgadget,Opinions expressed here are not mine and do not reflect my family  my employer  or mankind. They are solely the observations of my alter-ego.
trevorleeper,Musician  Photographer and Videographer. Storm chaser for KVII-TV  and video stringer with Live Storms Media.
msmollybnorth,TVR Major | Aspiring City Dweller | Broadway Enthusiast | Lover of Comedy and Dogs |
slagofftwits,Skeptic/curmudgeon/nerd  enjoying the slippage of time. About me: https://t.co/xd2JhqUxtB . Audio: https://t.co/mmYzmDZnbG I like people from a safe distance.
wordblender,Artist with a day job and a head full of words. Welcome. I will be your gateway poet. ///// intp  uaa  hsu  csumb  907  1A  19A
amandaschull,Cassandra  Katrina  Meredith  Jody  Katie  Sara  Elizabeth...And Amanda
livlongley,Travel and sushi addict. New Yorker living in Cali ❤️ Marketing  PR & Sales
dwhinote,old fat white woman
neeldavid161,
dontpanicbjtj,28 | Vegan | excited for the destruction of the global pedo ring | YOU SHALL BE DEVOURED BY THE LOCUST'S | installation and implementation of new dominion ready
zoe_heid,
dillyonnagano,The Leader of America - Super Genius (Dealing with the human species) MOTHERFUCKIN AUSTIN TEXAS DONT CARE
gabriezapponi,#Art #Fashion #Design #Writting⌚️🎛 🎥 Fashion Stories 👛🐲 - https://t.co/aI1xvTicCj - Founder & Creative Director @casacalto 📮gabrizapponi@gmail.com
collapselive,
mikeloburgio,Grandpa Dad Jayhawk Old Hippie 'When I do good I feel good When I do bad I feel bad Thats my Religion' Abraham Lincoln
cedricegalloway,
morgankoverman,half girl  half turnip
businessinsider,What you need to know.
facilegoose,Trump's Telluric Irredentism Will Raise Thule  And Make Rumsfeld's Unknown-Knowns  Known-Knowns. #CompleteTheSystem #GermanIdealism #SlavTwitter
lwater19,Sophomore
mkarambelas,
notjust4geeks,UTEP Instructor  Peer Leader Manager  science advocate  and lover of culture and arts. #NotJust4Geeks
joannekajdi000,
z_popparaz,Photojournalist ● Conservative
henry_bowman,Handmade Traditional Nunchaku. | Studying Pai Lum White Dragon Kung Fu since 98. Made in USA | Everything Interesting
semperadlucum,Mom Wife Small business owner  registered Independent  NEW YORK.  Proud to have the courage to tweet in this CRAZY environment!!
kev_rose_lit,...😏 I know... I know..
abhishek0139,
3montmonty,
jackeamonn,defense industrial analyst  former boy soldier for a Kenyan warlord.
alvf2010,
robert1288,5th and Wilshire  Santa Monica
iamkippaige,Graphic designer  wrestler  food lover
glomargareth,a human.
sausageeyeroll,Feminism/AFL (GWS)/Cute animals/Cheese/Gin/Breakfast/Sleeping/Ranting/Razzing/Drawing https://t.co/CmWk7GXBUc
josefburton,I tweet about space because the news makes me yell a lot. Opinions are my own. Any pictures of food are also my own you can't have any.
kibu_mbaluku,Politics  Finance  Economics & Entrepreneurship - Views are my own | AUMS'17
bayesragem,
kwingert61,Professional volunteer and fish catcher.
ulldiesoonfatty,love drought? more like dick drought
amy_bannor,My mission is to change the car buying experience one customer at a time!
truescpatriot,Engineer  Father  Christian  Oath Keeper  #3percenter #threepercenter
renaemryan1,Associate Professor  Uni. of Sydney | Biophysicist | Pharmacologist | Passionate about Gender Diversity in STEMM & Researcher Development #SAGE #WomeninSTEMM
thatfuckenkid,when i was younger i wanted to have sex with wubzy from wow wow wubzy || alt @tinwpapa || @ironichat ✧ @DRUGTHOT ✧ @Seb_FAS ✧ @dimwiticus ✧
gemllo,Co-Founder & Director Client Engagement- Diverse City Careers | 2016 WIT Entrepreneur of the Year | @dcc_au
j_stephens315,ISU JLMC Student | My Tweets Are My Own Opinion | Syracuse | 76ers | ATL Falcons | Victoria Justice Future ExHusband | Former Red Power Ranger | RIP Paul Walker
motumus,Virgin :(
borntoeatbacon,Bacon Worshiping  Narcoleptic Computer Geek  player of SWTOR  Funko Pop Collector and Agent of S.H.I.E.L.D.
lent_ava,shitsha.
bbfanjb,
temperance206,💀B0NES🎤💋JEM ✌AubreyPeeples💞RyanAGuzman 🎬EmilyDeschanel🎵BrittaPhillips💗SamanthaNewark🌟NOTORIOUS🔬fibro|CFS|Sjogren's👯
mrkilpatrickths,Geeky science teacher  metalhead  and Whovian  in that order...  --Find something you're passionate about  and never work a day in your life--
nickpatelmd,Medical Director Clinical Informatics - Palmetto Health-USC Medical Group. HP Healthcare Advisory Council and  MVP Microsoft Surface
dailycontessa,I made a statement by voting for Ralph Nader. George Bush won the election. It was a pretty stupid statement.  #ImWithHer
hamptonsydney1,Make love  not war. What the hell  just do both! Get married! Hi  I'm Katya  moved to the US from Moscow 2 years ago. Thanks for reading. I love to blog!
fandomsandhoran,“If I get a little prettier  can I be your baby?” || I'm just getting used to being on my own. || Aleks. ||
katkillahkills,Does the body rule the mind or does the mind rule the body? I don't know
stephenb,
ziskacomm,Communications consultant & writer on #museums  #culture  #nonprofits  #internationaldevelopment & #environment. Adjunct faculty @JHUMuseumStudies.
ninollenado,funny but crazy meh things are all i expect coz no one understandz me :(
bradferrand9,Jesuit Nola 98'  LSU 02' Loyola Law 05' Husband  father  attorney  LSU and Saints fanatic. Also  check out my food blog at https://t.co/cod6C3paa5
syd3825,Artist  Producer  Engineer  Free Mind  Hot Slave Body. Neither Republican or Democrat  I'm Intelligent. Anti-Police. I Don't Worship Your God.
asap_hemi,Failure hasn't cross my mind  Success is embedded in my soul I'm not perfect but my God is working wit me I am his Prophet
gshemas,The guy who could not get the job done.
echampagnemami,OVO4LIFE⁶𓅓
lynnbixenspan,I'm so chill they call me a calmedian. I once died on Celebrity Ghost Stories. Writer for The Comedy Show.
coleastroud,Management: Vital Ent | Agency: LoveStone
builtlikebuddha,Where your TC meets your MCM.
colinnagele,Remember  licking doorknobs is illegal on other planets
alexisfrank172,In life we cannot always do great things  but we can do small things with great love. 1 Timothy 4:10 Ask me about Jesus!
isolateunknown,We are a Heavy Metal band From Charlotte NC. Our members are Jon Price-percussion / Brad Joyce-bass / David P. McArdle -guitar / Joshua Berndt - Vocalist.
indieastronomer,Thinking beyond The Kardashev Scale into The Akashik Records
rcwebdeals,The goal of the creators of RC Web Deals is to make shopping for basic necessities  as well as luxuries  convenient and exciting for our customers.
bhanuvrat,Cyclist  Programmer.
yoandreee,Love  Live Life  Proceed & Progress. | Instagram: https://t.co/kR9c8YLcma
pawsonbalsam,
benderdrummer,Founder @Klampwave. IT enthuser with a background in Industrial Design. People before products.
districtsparkle,9-5 desk sitter • 5-9 style blogger |  meaghan@districtsparkle.com
bobcurrer,Photographer  cook  dust bunny wrangler. Love art  photos  food.  Hate politicians  party stooges  and political dupes  and beets.
stephist,Not a robot  but I play one on the Internet. Digital  + Social Media Lead @NASAJPL  moonlighting as @MarsCuriosity. Opinions mine.
maxjeanty,consumer of burritos and drinker of rum&cokes. I dabble in stand up comedy
miccirae,ig: @miccicake
